,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,top_party,total_seat_votes,Percentage of votes garnered,Percentage of bumiputera residents,labour_unemployment_rate,poverty_incidence,Result
337,Pahang,P.078 Cameron Highlands,3,Chiong Yoke Kong,CHIONG YOKE KONG,39,male,chinese,PAKATAN HARAPAN (PH),11576,0,lost,0,PH,33265,34.79933864,72.18552649,1.5,1.7,Lost
340,Pahang,P.079 Lipis,3,Tengku Zulpuri Shah Bin Raja Puji,TENGKU ZULPURI SHAH BIN RAJA PUJI,58,male,bumiputera,PAKATAN HARAPAN (PH),6366,0,lost,0,PH,35855,17.75484591,84.28571429,3.6,5.6,Lost
342,Pahang,P.080 Raub,1,Chow Yu Hui,CHOW YU HUI,39,male,chinese,PAKATAN HARAPAN (PH),21613,1,won,1,PH,56235,38.43336001,60.99240685,3.8,4.4,Won
346,Pahang,P.081 Jerantut,1,Hassan Basri Bin Awang Mat Dahan,DATO' DR HASSAN BASRI BIN AWANG MAT DAHAN,60,male,bumiputera,PAKATAN HARAPAN (PH),11444,0,lost,0,PH,66754,17.14354196,85.63525391,3.2,9.6,Lost
351,Pahang,P.082 Indera Mahkota,3,Zuraidi Bin Ismail,HAJI ZURAIDI ISMAIL,56,male,bumiputera,PAKATAN HARAPAN (PH),33293,0,lost,0,PH,93379,35.65362662,75.77928129,2.6,2,Lost
354,Pahang,P.083 Kuantan,2,Fuziah Binti Salleh,FUZIAH SALLEH,63,female,bumiputera,PAKATAN HARAPAN (PH),22648,0,lost,0,PH,67762,33.42286237,82.51948011,2.9,1.1,Lost
359,Pahang,P.084 Paya Besar,3,Ahmad Azam Bin Mohamad Salleh,AHMAD AZAM,62,male,bumiputera,PAKATAN HARAPAN (PH),9192,0,lost,0,PH,61983,14.82987271,91.47376823,3.2,1.2,Lost
362,Pahang,P.085 Pekan,2,Mohd Naim Bin Zainal Abidin,MOHD NAIM ZAINAL ABIDIN,56,male,bumiputera,PAKATAN HARAPAN (PH),6316,0,lost_deposit,0,PH,93041,6.788405112,96.28199825,2.7,6.5,Lost
369,Pahang,P.086 Maran,4,Ahmad Shuhor Bin Awang,AHMAD SHUHOR,58,male,bumiputera,PAKATAN HARAPAN (PH),3547,0,lost_deposit,0,PH,41092,8.631850482,93.54239417,2.6,8.6,Lost
372,Pahang,P.087 Kuala Krau,3,Juhari Bin Osman,JUHARI OSMAN,56,male,bumiputera,PAKATAN HARAPAN (PH),3593,0,lost_deposit,0,PH,47753,7.524134609,97.00970112,4.2,4.9,Lost
376,Pahang,P.088 Temerloh,3,Mohd Hasbie Bin Muda,HASBIE MUDA,35,male,bumiputera,PAKATAN HARAPAN (PH),25409,0,lost,0,PH,82637,30.74772802,75.88739201,4.2,6.1,Lost
379,Pahang,P.089 Bentong,2,Young Syefura Binti Othman,YOUNG SYEFURA BINTI OTHMAN,33,female,bumiputera,PAKATAN HARAPAN (PH),25075,1,won,1,PH,66657,37.6179546,61.92606417,3.5,3.4,Won
385,Pahang,P.090 Bera,3,Abas Bin Awang,HAJI ABAS BIN AWANG,71,male,bumiputera,PAKATAN HARAPAN (PH),15067,0,lost,0,PH,59548,25.30227715,67.42908324,3.3,2.8,Lost
389,Pahang,P.091 Rompin,4,Erman Shah Bin Jaios,ERMAN SHAH,43,male,bumiputera,PAKATAN HARAPAN (PH),4779,0,lost_deposit,0,PH,66927,7.140615895,96.52679162,3.4,6.7,Lost
393,Selangor,P.092 Sabak Bernam,4,Shamsul Ma'Arif Bin Ismail,HJ. SHAMSUL MA'ARIF ISMAIL,58,male,bumiputera,PAKATAN HARAPAN (PH),9627,0,lost,0,PH,40977,23.49366718,84.21019081,3.5,7.7,Lost
397,Selangor,P.093 Sungai Besar,4,Saipolyazan Bin Mat Yusop,HJ SAIPOLYAZAN M YUSOP,52,male,bumiputera,PAKATAN HARAPAN (PH),17070,0,lost,0,PH,51070,33.42471118,70.15182513,3,2.7,Lost
401,Selangor,P.094 Hulu Selangor,4,Sathia Prakash A/L C. Nadarajan,DR. SATHIA PRAKASH NADARAJAN,45,male,indian,PAKATAN HARAPAN (PH),45261,0,lost,0,PH,122442,36.96525702,75.25517505,2.6,1.5,Lost
411,Selangor,P.096 Kuala Selangor,3,Dzulkefly Bin Ahmad,DS DR DZULKEFLY BIN AHMAD,66,male,bumiputera,PAKATAN HARAPAN (PH),31033,1,won,0,PH,86481,35.88418265,79.77986896,4.2,3.1,Won
417,Selangor,P.097 Selayang,5,William Leong Jee Keen,WILLIAM LEONG JEE KEEN,65,male,chinese,PAKATAN HARAPAN (PH),72773,1,won,0,PH,144881,50.22949869,61.52776345,4,0.6,Won
419,Selangor,P.098 Gombak,2,Amirudin Bin Shari,AMIRUDIN SHARI,42,male,bumiputera,PAKATAN HARAPAN (PH),72267,1,won,1,PH,165426,43.68539407,79.61826985,3.9,0.3,Won
423,Selangor,P.099 Ampang,1,Rodziah Binti Ismail,RODZIAH ISMAIL,58,female,bumiputera,PAKATAN HARAPAN (PH),56754,1,won,1,PH,104430,54.34645217,67.07567562,5.6,1.1,Won
432,Selangor,P.100 Pandan,1,Mohd Rafizi Bin Ramli,RAFIZI RAMLI,45,male,bumiputera,PAKATAN HARAPAN (PH),74002,1,won,0,PH,115656,63.98457495,51.55721056,5,0.3,Won
437,Selangor,P.101 Hulu Langat,1,Mohd Sany Bin Hamzan,YB MOHD SANY HAMZAN,45,male,bumiputera,PAKATAN HARAPAN (PH),58382,1,won,1,PH,136789,42.68033248,71.71710207,5.5,0.9,Won
449,Selangor,P.102 Bangi,7,Syahredzan Bin Johan,SYAHREDZAN BIN JOHAN,39,male,bumiputera,PAKATAN HARAPAN (PH),141568,1,won,1,PH,244291,57.95055896,62.22629615,4.5,0.4,Won
451,Selangor,P.103 Puchong,1,Yeo Bee Yin,YEO BEE YIN,39,female,chinese,PAKATAN HARAPAN (PH),79425,1,won,0,PH,120949,65.66817419,49.380408,4.9,2.1,Won
457,Selangor,P.104 Subang,3,Wong Chen,WONG CHEN,53,male,chinese,PAKATAN HARAPAN (PH),138259,1,won,0,PH,177983,77.68101448,36.79921826,4.9,0.3,Won
463,Selangor,P.105 Petaling Jaya,6,Lee Chean Chung,LEE CHEAN CHUNG,41,male,chinese,PAKATAN HARAPAN (PH),83311,1,won,1,PH,145862,57.11631542,52.01477057,5,1.1,Won
464,Selangor,P.106 Damansara,1,Gobind Singh Deo,GOBIND SINGH DEO,49,male,other,PAKATAN HARAPAN (PH),142875,1,won,0,PH,174937,81.67225916,33.70843334,5.1,0.6,Won
